"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0125854871495346,1,6,1906.75,"GO:0005638 lamin filament "," http://amigo.geneontology.org/amigo/term/GO:0005638"," LMNA"
0.0136321918542994,1,13,880.038461538461,"GO:0005652 nuclear lamina "," http://amigo.geneontology.org/amigo/term/GO:0005652"," LMNA"
0.0540110538471623,1,130,88.0038461538462,"GO:0016363 nuclear matrix "," http://amigo.geneontology.org/amigo/term/GO:0016363"," LMNA"
0.0540110538471623,1,155,73.8096774193548,"GO:0034399 nuclear periphery "," http://amigo.geneontology.org/amigo/term/GO:0034399"," LMNA"
0.0540110538471623,1,78,146.673076923077,"GO:0035861 site of double-strand break "," http://amigo.geneontology.org/amigo/term/GO:0035861"," LMNA"
0.0540110538471623,1,105,108.957142857143,"GO:0090734 site of DNA damage "," http://amigo.geneontology.org/amigo/term/GO:0090734"," LMNA"
0.0763666865017329,1,273,41.9065934065934,"GO:0005882 intermediate filament "," http://amigo.geneontology.org/amigo/term/GO:0005882"," LMNA"
0.0763666865017329,1,330,34.6681818181818,"GO:0031965 nuclear membrane "," http://amigo.geneontology.org/amigo/term/GO:0031965"," LMNA"
0.0763666865017329,1,312,36.6682692307692,"GO:0045111 intermediate filament cytoskeleton "," http://amigo.geneontology.org/amigo/term/GO:0045111"," LMNA"
0.0997215450080277,1,529,21.6266540642722,"GO:0005635 nuclear envelope "," http://amigo.geneontology.org/amigo/term/GO:0005635"," LMNA"
0.0997215450080277,1,489,23.3957055214724,"GO:0016607 nuclear speck "," http://amigo.geneontology.org/amigo/term/GO:0016607"," LMNA"
0.13234737924983,1,770,14.8577922077922,"GO:0048471 perinuclear region of cytoplasm "," http://amigo.geneontology.org/amigo/term/GO:0048471"," LMNA"
0.13803629175335,1,872,13.1198394495413,"GO:0099513 polymeric cytoskeletal fiber "," http://amigo.geneontology.org/amigo/term/GO:0099513"," LMNA"
0.139686483701169,1,952,12.0173319327731,"GO:0016604 nuclear body "," http://amigo.geneontology.org/amigo/term/GO:0016604"," LMNA"
0.145250219820824,1,1136,10.0708626760563,"GO:0099081 supramolecular polymer "," http://amigo.geneontology.org/amigo/term/GO:0099081"," LMNA"
0.145250219820824,1,1127,10.1512866015972,"GO:0099512 supramolecular fiber "," http://amigo.geneontology.org/amigo/term/GO:0099512"," LMNA"
0.155985376452139,1,1380,8.29021739130435,"GO:0031967 organelle envelope "," http://amigo.geneontology.org/amigo/term/GO:0031967"," LMNA"
0.155985376452139,1,1380,8.29021739130435,"GO:0031975 envelope "," http://amigo.geneontology.org/amigo/term/GO:0031975"," LMNA"
0.161532231612901,1,1513,7.56146728354263,"GO:0099080 supramolecular complex "," http://amigo.geneontology.org/amigo/term/GO:0099080"," LMNA"
